id,name,region,map_group,sort_order,zone_id
235,Solaceon Ruins - R Room Dead End (NW),Sinnoh,Cave,5038,235
236,Solaceon Ruins - R Room Dead End (SW),Sinnoh,Cave,5039,236
237,Solaceon Ruins - I Room,Sinnoh,Cave,5040,237
238,Solaceon Ruins - N Room,Sinnoh,Cave,5041,238
239,Solaceon Ruins - E Room,Sinnoh,Cave,5042,239
240,Solaceon Ruins - D Room,Sinnoh,Cave,5043,240
241,Solaceon Ruins - I Room Dead End (SE),Sinnoh,Cave,5044,241
242,Solaceon Ruins - N Room Dead End (NW),Sinnoh,Cave,5045,242
243,Solaceon Ruins - E Room Dead End (SE),Sinnoh,Cave,5046,243
244,Victory Road - 1F,Sinnoh,Cave,5047,244
245,Victory Road - 2F,Sinnoh,Cave,5048,245
246,Victory Road - B1F,Sinnoh,Cave,5049,246
247,Victory Road - 1F Back (Marley),Sinnoh,Cave,5050,247
248,Victory Road - 1F Back (Entrance),Sinnoh,Cave,5051,248
249,Victory Road - 1F Back (214 Exit),Sinnoh,Cave,5052,249
252,Ravaged Path,Sinnoh,Cave,5053,252
255,Oreburgh Gate - 1F,Sinnoh,Cave,5054,255
256,Oreburgh Gate - B1F,Sinnoh,Cave,5055,256
259,Stark Mountain (Overworld),Sinnoh,Cave,5056,259
260,Stark Mountain - Entrance,Sinnoh,Cave,5057,260
261,Stark Mountain - Interior,Sinnoh,Cave,5058,261
263,Sendoff Spring,Sinnoh,Overworld,5059,263
264,Turnback Cave - Entrance,Sinnoh,Cave,5060,264
265,Turnback Cave - d17r0103,Sinnoh,Cave,5061,265
266,Turnback Cave - d17r0104,Sinnoh,Cave,5062,266
267,Turnback Cave - d17r0105,Sinnoh,Cave,5063,267
268,Turnback Cave - d17r0106,Sinnoh,Cave,5064,268
269,Turnback Cave - d17r0107,Sinnoh,Cave,5065,269
270,Turnback Cave - d17r0108,Sinnoh,Cave,5066,270
271,Turnback Cave - d17r0109,Sinnoh,Cave,5067,271
272,Turnback Cave - d17r0110,Sinnoh,Cave,5068,272
273,Turnback Cave - d17r0111,Sinnoh,Cave,5069,273
274,Turnback Cave - d17r0112,Sinnoh,Cave,5070,274
275,Turnback Cave - d17r0113,Sinnoh,Cave,5071,275
276,Turnback Cave - d17r0114,Sinnoh,Cave,5072,276
277,Turnback Cave - d17r0115,Sinnoh,Cave,5073,277
278,Turnback Cave - d17r0116,Sinnoh,Cave,5074,278
279,Turnback Cave - d17r0117,Sinnoh,Cave,5075,279
280,Turnback Cave - d17r0118,Sinnoh,Cave,5076,280
281,Turnback Cave - d17r0119,Sinnoh,Cave,5077,281
282,Turnback Cave - d17r0120,Sinnoh,Cave,5078,282
283,Turnback Cave - d17r0121,Sinnoh,Cave,5079,283
284,Turnback Cave - d17r0122,Sinnoh,Cave,5080,284
286,Snowpoint Temple - 1F,Sinnoh,Cave,5081,286
287,Snowpoint Temple - B1F,Sinnoh,Cave,5082,287
288,Snowpoint Temple - B2F,Sinnoh,Cave,5083,288
289,Snowpoint Temple - B3F,Sinnoh,Cave,5084,289
290,Snowpoint Temple - B4F,Sinnoh,Cave,5085,290
291,Snowpoint Temple - B5F,Sinnoh,Cave,5086,291
292,Wayward Cave - Main Area,Sinnoh,Cave,5087,292
293,Wayward Cave - Secret Area,Sinnoh,Cave,5088,293
294,Ruin Maniac Cave - Small,Sinnoh,Cave,5089,294
295,Ruin Maniac Cave - Large,Sinnoh,Cave,5090,295
296,Maniac Tunnel,Sinnoh,Cave,5091,296
298,Iron Island (Overworld),Sinnoh,Overworld,5092,298
299,Iron Island - 1F,Sinnoh,Cave,5093,299
300,Iron Island - B1F Left,Sinnoh,Cave,5094,300
301,Iron Island - B1F Right,Sinnoh,Cave,5095,301
302,Iron Island - B2F Right,Sinnoh,Cave,5096,302
303,Iron Island - B2F Left (Riley's Room),Sinnoh,Cave,5097,303
304,Iron Island - B3F,Sinnoh,Cave,5098,304
306,Old Chateau - Lobby,Sinnoh,Building,5099,306
307,Old Chateau - Dining Room,Sinnoh,Building,5100,307
308,Old Chateau - 2F Small Rooms,Sinnoh,Building,5101,308
309,Old Chateau - 2F Hallway,Sinnoh,Building,5102,309
310,Old Chateau - Hallway Room 1,Sinnoh,Building,5103,310
311,Old Chateau - Hallway Room 2,Sinnoh,Building,5104,311
312,Old Chateau - Hallway Room 3,Sinnoh,Building,5105,312
313,Old Chateau - Hallway Room 4,Sinnoh,Building,5106,313
314,Old Chateau - Hallway Room 5,Sinnoh,Building,5107,314
323,Lake Verity (Before),Sinnoh,Overworld,5108,323
324,Lake Verity (After),Sinnoh,Overworld,5109,324
327,Lake Valor (After),Sinnoh,Overworld,5110,327
330,Lake Acuity (After),Sinnoh,Overworld,5111,330
347,Valor Lakefront,Sinnoh,Overworld,5112,347
351,Acuity Lakefront,Sinnoh,Overworld,5113,351
354,Route 201,Sinnoh,Overworld,2010,354
355,Route 202,Sinnoh,Overworld,2020,355
356,Route 203,Sinnoh,Overworld,2030,356
357,Route 204 (South),Sinnoh,Overworld,2042,357
358,Route 204 (North),Sinnoh,Overworld,2041,358
359,Route 205 (South),Sinnoh,Overworld,2052,359
361,Route 205 (North),Sinnoh,Overworld,2051,361
362,Route 206,Sinnoh,Overworld,2060,362
364,Route 207,Sinnoh,Overworld,2070,364
365,Route 208,Sinnoh,Overworld,2080,365
367,Route 209,Sinnoh,Overworld,2090,367
368,Lost Tower - 1F,Sinnoh,Cave,5125,368
369,Lost Tower - 2F,Sinnoh,Cave,5126,369
370,Lost Tower - 3F,Sinnoh,Cave,5127,370
371,Lost Tower - 4F,Sinnoh,Cave,5128,371
372,Lost Tower - 5F,Sinnoh,Cave,5129,372
373,Route 210 (South),Sinnoh,Overworld,2102,373
375,Route 210 (North),Sinnoh,Overworld,2101,375
377,Route 211 (West),Sinnoh,Overworld,2112,377
378,Route 211 (East),Sinnoh,Overworld,2111,378
379,Route 212 (North),Sinnoh,Overworld,2121,379
380,Trophy Garden,Sinnoh,Overworld,5135,380
383,Route 212 (South),Sinnoh,Overworld,2122,383
385,Route 213,Sinnoh,Overworld,2130,385
392,Route 214,Sinnoh,Overworld,2140,392
394,Route 215,Sinnoh,Overworld,2150,394
395,Route 216,Sinnoh,Overworld,2160,395
397,Route 217,Sinnoh,Overworld,2170,397
400,Route 218,Sinnoh,Overworld,2180,400
403,Route 219,Sinnoh,Water,2190,403
404,Route 221,Sinnoh,Overworld,2210,404
407,Route 222,Sinnoh,Overworld,2220,407
411,Route 224,Sinnoh,Water,2240,411
412,Route 225,Sinnoh,Overworld,2250,412
414,Route 227,Sinnoh,Overworld,2270,414
416,Route 228,Sinnoh,Overworld,2280,416
420,Route 229,Sinnoh,Overworld,2290,420
422,Twinleaf Town,Sinnoh,Overworld,5151,422
456,Celestic Town,Sinnoh,Overworld,5152,456
473,Resort Area,Sinnoh,Overworld,5153,473
485,Route 220,Sinnoh,Water,2200,485
486,Route 223,Sinnoh,Water,2230,486
487,Route 226,Sinnoh,Overworld,2260,487
489,Route 230,Sinnoh,Water,2300,489
