id,name,type1,type2,base_hp,base_atk,base_def,base_spa,base_spd,base_spe,sprite_key
34,Nidoking,POISON,GROUND,81,102,77,85,75,85,034
35,Clefairy,FAIRY,,70,45,48,60,65,35,035
36,Clefable,FAIRY,,95,70,73,95,90,60,036
37,Vulpix,FIRE,,38,41,40,50,65,65,037
38,Ninetales,FIRE,,73,76,75,81,100,100,038
39,Jigglypuff,NORMAL,FAIRY,115,45,20,45,25,20,039
40,Wigglytuff,NORMAL,FAIRY,140,70,45,85,50,45,040
41,Zubat,POISON,FLYING,40,45,35,30,40,55,041
42,Golbat,POISON,FLYING,75,80,70,65,75,90,042
43,Oddish,GRASS,POISON,45,50,55,75,65,30,043
44,Gloom,GRASS,POISON,60,65,70,85,75,40,044
45,Vileplume,GRASS,POISON,75,80,85,110,90,50,045
46,Paras,BUG,GRASS,35,70,55,45,55,25,046
47,Parasect,BUG,GRASS,60,95,80,60,80,30,047
48,Venonat,BUG,POISON,60,55,50,40,55,45,048
49,Venomoth,BUG,POISON,70,65,60,90,75,90,049
50,Diglett,GROUND,,10,55,25,35,45,95,050
51,Dugtrio,GROUND,,35,100,50,50,70,120,051
52,Meowth,NORMAL,,40,45,35,40,40,90,052
53,Persian,NORMAL,,65,70,60,65,65,115,053
54,Psyduck,WATER,,50,52,48,65,50,55,054
55,Golduck,WATER,,80,82,78,95,80,85,055
56,Mankey,FIGHTING,,40,80,35,35,45,70,056
57,Primeape,FIGHTING,,65,105,60,60,70,95,057
58,Growlithe,FIRE,,55,70,45,70,50,60,058
59,Arcanine,FIRE,,90,110,80,100,80,95,059
60,Poliwag,WATER,,40,50,40,40,40,90,060
61,Poliwhirl,WATER,,65,65,65,50,50,90,061
62,Poliwrath,WATER,FIGHTING,90,95,95,70,90,70,062
63,Abra,PSYCHIC,,25,20,15,105,55,90,063
64,Kadabra,PSYCHIC,,40,35,30,120,70,105,064
65,Alakazam,PSYCHIC,,55,50,45,135,95,120,065
66,Machop,FIGHTING,,70,80,50,35,35,35,066
67,Machoke,FIGHTING,,80,100,70,50,60,45,067
68,Machamp,FIGHTING,,90,130,80,65,85,55,068
69,Bellsprout,GRASS,POISON,50,75,35,70,30,40,069
70,Weepinbell,GRASS,POISON,65,90,50,85,45,55,070
71,Victreebel,GRASS,POISON,80,105,65,100,70,70,071
72,Tentacool,WATER,POISON,40,40,35,50,100,70,072
73,Tentacruel,WATER,POISON,80,70,65,80,120,100,073
74,Geodude,ROCK,GROUND,40,80,100,30,30,20,074
75,Graveler,ROCK,GROUND,55,95,115,45,45,35,075
76,Golem,ROCK,GROUND,80,120,130,55,65,45,076
77,Ponyta,FIRE,,50,85,55,65,65,90,077
78,Rapidash,FIRE,,65,100,70,80,80,105,078
79,Slowpoke,WATER,PSYCHIC,90,65,65,40,40,15,079
80,Slowbro,WATER,PSYCHIC,95,75,110,100,80,30,080
81,Magnemite,ELECTRIC,STEEL,25,35,70,95,55,45,081
82,Magneton,ELECTRIC,STEEL,50,60,95,120,70,70,082
83,Farfetch'd,NORMAL,FLYING,52,90,55,58,62,60,083
84,Doduo,NORMAL,FLYING,35,85,45,35,35,75,084
85,Dodrio,NORMAL,FLYING,60,110,70,60,60,110,085
86,Seel,WATER,,65,45,55,45,70,45,086
87,Dewgong,WATER,ICE,90,70,80,70,95,70,087
88,Grimer,POISON,,80,80,50,40,50,25,088
89,Muk,POISON,,105,105,75,65,100,50,089
90,Shellder,WATER,,30,65,100,45,25,40,090
91,Cloyster,WATER,ICE,50,95,180,85,45,70,091
92,Gastly,GHOST,POISON,30,35,30,100,35,80,092
93,Haunter,GHOST,POISON,45,50,45,115,55,95,093
94,Gengar,GHOST,POISON,60,65,60,130,75,110,094
95,Onix,ROCK,GROUND,35,45,160,30,45,70,095
96,Drowzee,PSYCHIC,,60,48,45,43,90,42,096
97,Hypno,PSYCHIC,,85,73,70,73,115,67,097
98,Krabby,WATER,,30,105,90,25,25,50,098
99,Kingler,WATER,,55,130,115,50,50,75,099
100,Voltorb,ELECTRIC,,40,30,50,55,55,100,100
101,Electrode,ELECTRIC,,60,50,70,80,80,150,101
102,Exeggcute,GRASS,PSYCHIC,60,40,80,60,45,40,102
103,Exeggutor,GRASS,PSYCHIC,95,95,85,125,75,55,103
104,Cubone,GROUND,,50,50,95,40,50,35,104
105,Marowak,GROUND,,60,80,110,50,80,45,105
106,Hitmonlee,FIGHTING,,50,120,53,35,110,87,106
107,Hitmonchan,FIGHTING,,50,105,79,35,110,76,107
108,Lickitung,NORMAL,,90,55,75,60,75,30,108
109,Koffing,POISON,,40,65,95,60,45,35,109
110,Weezing,POISON,,65,90,120,85,70,60,110
111,Rhyhorn,GROUND,ROCK,80,85,95,30,30,25,111
112,Rhydon,GROUND,ROCK,105,130,120,45,45,40,112
113,Chansey,NORMAL,,250,5,5,35,105,50,113
114,Tangela,GRASS,,65,55,115,100,40,60,114
115,Kangaskhan,NORMAL,,105,95,80,40,80,90,115
116,Horsea,WATER,,30,40,70,70,25,60,116
117,Seadra,WATER,,55,65,95,95,45,85,117
118,Goldeen,WATER,,45,67,60,35,50,63,118
119,Seaking,WATER,,80,92,65,65,80,68,119
120,Staryu,WATER,,30,45,55,70,55,85,120
121,Starmie,WATER,PSYCHIC,60,75,85,100,85,115,121
122,Mr. Mime,PSYCHIC,FAIRY,40,45,65,100,120,90,122
123,Scyther,BUG,FLYING,70,110,80,55,80,105,123
124,Jynx,ICE,PSYCHIC,65,50,35,115,95,95,124
125,Electabuzz,ELECTRIC,,65,83,57,95,85,105,125
126,Magmar,FIRE,,65,95,57,100,85,93,126
127,Pinsir,BUG,,65,125,100,55,70,85,127
128,Tauros,NORMAL,,75,100,95,40,70,110,128
129,Magikarp,WATER,,20,10,55,15,20,80,129
130,Gyarados,WATER,FLYING,95,125,79,60,100,81,130
131,Lapras,WATER,ICE,130,85,80,85,95,60,131
132,Ditto,NORMAL,,48,48,48,48,48,48,132
133,Eevee,NORMAL,,55,55,50,45,65,55,133
134,Vaporeon,WATER,,130,65,60,110,95,65,134
135,Jolteon,ELECTRIC,,65,65,60,110,95,130,135
136,Flareon,FIRE,,65,130,60,95,110,65,136
137,Porygon,NORMAL,,65,60,70,85,75,40,137
138,Omanyte,ROCK,WATER,35,40,100,90,55,35,138
139,Omastar,ROCK,WATER,70,60,125,115,70,55,139
140,Kabuto,ROCK,WATER,30,80,90,55,45,55,140
141,Kabutops,ROCK,WATER,60,115,105,65,70,80,141
142,Aerodactyl,ROCK,FLYING,80,105,65,60,75,130,142
143,Snorlax,NORMAL,,160,110,65,65,110,30,143
144,Articuno,ICE,FLYING,90,85,100,95,125,85,144
145,Zapdos,ELECTRIC,FLYING,90,90,85,125,90,100,145
146,Moltres,FIRE,FLYING,90,100,90,125,85,90,146
147,Dratini,DRAGON,,41,64,45,50,50,50,147
148,Dragonair,DRAGON,,61,84,65,70,70,70,148
149,Dragonite,DRAGON,FLYING,91,134,95,100,100,80,149
150,Mewtwo,PSYCHIC,,106,110,90,154,90,130,150
151,Mew,PSYCHIC,,100,100,100,100,100,100,151
152,Chikorita,GRASS,,45,49,65,49,65,45,152
153,Bayleef,GRASS,,60,62,80,63,80,60,153
154,Meganium,GRASS,,80,82,100,83,100,80,154
155,Cyndaquil,FIRE,,39,52,43,60,50,65,155
156,Quilava,FIRE,,58,64,58,80,65,80,156
157,Typhlosion,FIRE,,78,84,78,109,85,100,157
158,Totodile,WATER,,50,65,64,44,48,43,158
159,Croconaw,WATER,,65,80,80,59,63,58,159
160,Feraligatr,WATER,,85,105,100,79,83,78,160
161,Sentret,NORMAL,,35,46,34,35,45,20,161
162,Furret,NORMAL,,85,76,64,45,55,90,162
163,Hoothoot,NORMAL,FLYING,60,30,30,36,56,50,163
164,Noctowl,NORMAL,FLYING,100,50,50,86,96,70,164
165,Ledyba,BUG,FLYING,40,20,30,40,80,55,165
166,Ledian,BUG,FLYING,55,35,50,55,110,85,166
167,Spinarak,BUG,POISON,40,60,40,40,40,30,167
168,Ariados,BUG,POISON,70,90,70,60,70,40,168
169,Crobat,POISON,FLYING,85,90,80,70,80,130,169
170,Chinchou,WATER,ELECTRIC,75,38,38,56,56,67,170
171,Lanturn,WATER,ELECTRIC,125,58,58,76,76,67,171
172,Pichu,ELECTRIC,,20,40,15,35,35,60,172
173,Cleffa,FAIRY,,50,25,28,45,55,15,173
174,Igglybuff,NORMAL,FAIRY,90,30,15,40,20,15,174
175,Togepi,FAIRY,,35,20,65,40,65,20,175
176,Togetic,FAIRY,FLYING,55,40,85,80,105,40,176
177,Natu,PSYCHIC,FLYING,40,50,45,70,45,70,177
178,Xatu,PSYCHIC,FLYING,65,75,70,95,70,95,178
179,Mareep,ELECTRIC,,55,40,40,65,45,35,179
180,Flaaffy,ELECTRIC,,70,55,55,80,60,45,180
181,Ampharos,ELECTRIC,,90,75,85,115,90,55,181
182,Bellossom,GRASS,,75,80,95,90,100,50,182
183,Marill,WATER,FAIRY,70,20,50,20,50,40,183
184,Azumarill,WATER,FAIRY,100,50,80,60,80,50,184
185,Sudowoodo,ROCK,,70,100,115,30,65,30,185
186,Politoed,WATER,,90,75,75,90,100,70,186
187,Hoppip,GRASS,FLYING,35,35,40,35,55,50,187
188,Skiploom,GRASS,FLYING,55,45,50,45,65,80,188
189,Jumpluff,GRASS,FLYING,75,55,70,55,95,110,189
190,Aipom,NORMAL,,55,70,55,40,55,85,190
191,Sunkern,GRASS,,30,30,30,30,30,30,191
192,Sunflora,GRASS,,75,75,55,105,85,30,192
193,Yanma,BUG,FLYING,65,65,45,75,45,95,193
194,Wooper,WATER,GROUND,55,45,45,25,25,15,194
195,Quagsire,WATER,GROUND,95,85,85,65,65,35,195
196,Espeon,PSYCHIC,,65,65,60,130,95,110,196
197,Umbreon,DARK,,95,65,110,60,130,65,197
198,Murkrow,DARK,FLYING,60,85,42,85,42,91,198
199,Slowking,WATER,PSYCHIC,95,75,80,100,110,30,199
200,Misdreavus,GHOST,,60,60,60,85,85,85,200
201,Unown,PSYCHIC,,48,72,48,72,48,48,201
202,Wobbuffet,PSYCHIC,,190,33,58,33,58,33,202
203,Girafarig,NORMAL,PSYCHIC,70,80,65,90,65,85,203
204,Pineco,BUG,,50,65,90,35,35,15,204
205,Forretress,BUG,STEEL,75,90,140,60,60,40,205
206,Dunsparce,NORMAL,,100,70,70,65,65,45,206
207,Gligar,GROUND,FLYING,65,75,105,35,65,85,207
208,Steelix,STEEL,GROUND,75,85,200,55,65,30,208
209,Snubbull,FAIRY,,60,80,50,40,40,30,209
210,Granbull,FAIRY,,90,120,75,60,60,45,210
211,Qwilfish,WATER,POISON,65,95,85,55,55,85,211
212,Scizor,BUG,STEEL,70,130,100,55,80,65,212
213,Shuckle,BUG,ROCK,20,10,230,10,230,5,213
214,Heracross,BUG,FIGHTING,80,125,75,40,95,85,214
215,Sneasel,DARK,ICE,55,95,55,35,75,115,215
216,Teddiursa,NORMAL,,60,80,50,50,50,40,216
217,Ursaring,NORMAL,,90,130,75,75,75,55,217
218,Slugma,FIRE,,40,40,40,70,40,20,218
219,Magcargo,FIRE,ROCK,60,50,120,90,80,30,219
220,Swinub,ICE,GROUND,50,50,40,30,30,50,220
221,Piloswine,ICE,GROUND,100,100,80,60,60,50,221
222,Corsola,WATER,ROCK,65,55,95,65,95,35,222
223,Remoraid,WATER,,35,65,35,65,35,65,223
224,Octillery,WATER,,75,105,75,105,75,45,224
225,Delibird,ICE,FLYING,45,55,45,65,45,75,225
226,Mantine,WATER,FLYING,85,40,70,80,140,70,226
227,Skarmory,STEEL,FLYING,65,80,140,40,70,70,227
228,Houndour,DARK,FIRE,45,60,30,80,50,65,228
229,Houndoom,DARK,FIRE,75,90,50,110,80,95,229
230,Kingdra,WATER,DRAGON,75,95,95,95,95,85,230
231,Phanpy,GROUND,,90,60,60,40,40,40,231
232,Donphan,GROUND,,90,120,120,60,60,50,232
233,Porygon2,NORMAL,,85,80,90,105,95,60,233
234,Stantler,NORMAL,,73,95,62,85,65,85,234
235,Smeargle,NORMAL,,55,20,35,20,45,75,235
236,Tyrogue,FIGHTING,,35,35,35,35,35,35,236
237,Hitmontop,FIGHTING,,50,95,95,35,110,70,237
238,Smoochum,ICE,PSYCHIC,45,30,15,85,65,65,238
239,Elekid,ELECTRIC,,45,63,37,65,55,95,239
240,Magby,FIRE,,45,75,37,70,55,83,240
241,Miltank,NORMAL,,95,80,105,40,70,100,241
242,Blissey,NORMAL,,255,10,10,75,135,55,242
243,Raikou,ELECTRIC,,90,85,75,115,100,115,243
244,Entei,FIRE,,115,115,85,90,75,100,244
245,Suicune,WATER,,100,75,115,90,115,85,245
246,Larvitar,ROCK,GROUND,50,64,50,45,50,41,246
247,Pupitar,ROCK,GROUND,70,84,70,65,70,51,247
248,Tyranitar,ROCK,DARK,100,134,110,95,100,61,248
249,Lugia,PSYCHIC,FLYING,106,90,130,90,154,110,249
250,Ho-Oh,FIRE,FLYING,106,130,90,110,154,90,250
251,Celebi,PSYCHIC,GRASS,100,100,100,100,100,100,251
252,Treecko,GRASS,,40,45,35,65,55,70,252
253,Grovyle,GRASS,,50,65,45,85,65,95,253
254,Sceptile,GRASS,,70,85,65,105,85,120,254
255,Torchic,FIRE,,45,60,40,70,50,45,255
256,Combusken,FIRE,FIGHTING,60,85,60,85,60,55,256
257,Blaziken,FIRE,FIGHTING,80,120,70,110,70,80,257
258,Mudkip,WATER,,50,70,50,50,50,40,258
259,Marshtomp,WATER,GROUND,70,85,70,60,70,50,259
260,Swampert,WATER,GROUND,100,110,90,85,90,60,260
261,Poochyena,DARK,,35,55,35,30,30,35,261
262,Mightyena,DARK,,70,90,70,60,60,70,262
263,Zigzagoon,NORMAL,,38,30,41,30,41,60,263
264,Linoone,NORMAL,,78,70,61,50,61,100,264
265,Wurmple,BUG,,45,45,35,20,30,20,265
266,Silcoon,BUG,,50,35,55,25,25,15,266
267,Beautifly,BUG,FLYING,60,70,50,100,50,65,267
268,Cascoon,BUG,,50,35,55,25,25,15,268
269,Dustox,BUG,POISON,60,50,70,50,90,65,269
270,Lotad,WATER,GRASS,40,30,30,40,50,30,270
271,Lombre,WATER,GRASS,60,50,50,60,70,50,271
272,Ludicolo,WATER,GRASS,80,70,70,90,100,70,272
273,Seedot,GRASS,,40,40,50,30,30,30,273
274,Nuzleaf,GRASS,DARK,70,70,40,60,40,60,274
275,Shiftry,GRASS,DARK,90,100,60,90,60,80,275
276,Taillow,NORMAL,FLYING,40,55,30,30,30,85,276
277,Swellow,NORMAL,FLYING,60,85,60,75,50,125,277
278,Wingull,WATER,FLYING,40,30,30,55,30,85,278
279,Pelipper,WATER,FLYING,60,50,100,95,70,65,279
280,Ralts,PSYCHIC,FAIRY,28,25,25,45,35,40,280
281,Kirlia,PSYCHIC,FAIRY,38,35,35,65,55,50,281
282,Gardevoir,PSYCHIC,FAIRY,68,65,65,125,115,80,282
283,Surskit,BUG,WATER,40,30,32,50,52,65,283
284,Masquerain,BUG,FLYING,70,60,62,100,82,80,284
285,Shroomish,GRASS,,60,40,60,40,60,35,285
286,Breloom,GRASS,FIGHTING,60,130,80,60,60,70,286
287,Slakoth,NORMAL,,60,60,60,35,35,30,287
288,Vigoroth,NORMAL,,80,80,80,55,55,90,288
289,Slaking,NORMAL,,150,160,100,95,65,100,289
290,Nincada,BUG,GROUND,31,45,90,30,30,40,290
291,Ninjask,BUG,FLYING,61,90,45,50,50,160,291
292,Shedinja,BUG,GHOST,1,90,45,30,30,40,292
293,Whismur,NORMAL,,64,51,23,51,23,28,293
294,Loudred,NORMAL,,84,71,43,71,43,48,294
295,Exploud,NORMAL,,104,91,63,91,73,68,295
296,Makuhita,FIGHTING,,72,60,30,20,30,25,296
297,Hariyama,FIGHTING,,144,120,60,40,60,50,297
298,Azurill,NORMAL,FAIRY,50,20,40,20,40,20,298
299,Nosepass,ROCK,,30,45,135,45,90,30,299
300,Skitty,NORMAL,,50,45,45,35,35,50,300
301,Delcatty,NORMAL,,70,65,65,55,55,90,301
302,Sableye,DARK,GHOST,50,75,75,65,65,50,302
303,Mawile,STEEL,FAIRY,50,85,85,55,55,50,303
304,Aron,STEEL,ROCK,50,70,100,40,40,30,304
305,Lairon,STEEL,ROCK,60,90,140,50,50,40,305
306,Aggron,STEEL,ROCK,70,110,180,60,60,50,306
307,Meditite,FIGHTING,PSYCHIC,30,40,55,40,55,60,307
308,Medicham,FIGHTING,PSYCHIC,60,60,75,60,75,80,308
309,Electrike,ELECTRIC,,40,45,40,65,40,65,309
310,Manectric,ELECTRIC,,70,75,60,105,60,105,310
311,Plusle,ELECTRIC,,60,50,40,85,75,95,311
312,Minun,ELECTRIC,,60,40,50,75,85,95,312
313,Volbeat,BUG,,65,73,75,47,85,85,313
314,Illumise,BUG,,65,47,75,73,85,85,314
315,Roselia,GRASS,POISON,50,60,45,100,80,65,315
316,Gulpin,POISON,,70,43,53,43,53,40,316
317,Swalot,POISON,,100,73,83,73,83,55,317
318,Carvanha,WATER,DARK,45,90,20,65,20,65,318
319,Sharpedo,WATER,DARK,70,120,40,95,40,95,319
320,Wailmer,WATER,,130,70,35,70,35,60,320
321,Wailord,WATER,,170,90,45,90,45,60,321
322,Numel,FIRE,GROUND,60,60,40,65,45,35,322
323,Camerupt,FIRE,GROUND,70,100,70,105,75,40,323
324,Torkoal,FIRE,,70,85,140,85,70,20,324
325,Spoink,PSYCHIC,,60,25,35,70,80,60,325
326,Grumpig,PSYCHIC,,80,45,65,90,110,80,326
327,Spinda,NORMAL,,60,60,60,60,60,60,327
328,Trapinch,GROUND,,45,100,45,45,45,10,328
329,Vibrava,GROUND,DRAGON,50,70,50,50,50,70,329
330,Flygon,GROUND,DRAGON,80,100,80,80,80,100,330
331,Cacnea,GRASS,,50,85,40,85,40,35,331
332,Cacturne,GRASS,DARK,70,115,60,115,60,55,332
333,Swablu,NORMAL,FLYING,45,40,60,40,75,50,333
334,Altaria,DRAGON,FLYING,75,70,90,70,105,80,334
335,Zangoose,NORMAL,,73,115,60,60,60,90,335
336,Seviper,POISON,,73,100,60,100,60,65,336
337,Lunatone,ROCK,PSYCHIC,90,55,65,95,85,70,337
338,Solrock,ROCK,PSYCHIC,90,95,85,55,65,70,338
339,Barboach,WATER,GROUND,50,48,43,46,41,60,339
340,Whiscash,WATER,GROUND,110,78,73,76,71,60,340
341,Corphish,WATER,,43,80,65,50,35,35,341
342,Crawdaunt,WATER,DARK,63,120,85,90,55,55,342
343,Baltoy,GROUND,PSYCHIC,40,40,55,40,70,55,343
344,Claydol,GROUND,PSYCHIC,60,70,105,70,120,75,344
345,Lileep,ROCK,GRASS,66,41,77,61,87,23,345
346,Cradily,ROCK,GRASS,86,81,97,81,107,43,346
347,Anorith,ROCK,BUG,45,95,50,40,50,75,347
348,Armaldo,ROCK,BUG,75,125,100,70,80,45,348
349,Feebas,WATER,,20,15,20,10,55,80,349
350,Milotic,WATER,,95,60,79,100,125,81,350
351,Castform,NORMAL,,70,70,70,70,70,70,351
352,Kecleon,NORMAL,,60,90,70,60,120,40,352
353,Shuppet,GHOST,,44,75,35,63,33,45,353
354,Banette,GHOST,,64,115,65,83,63,65,354
355,Duskull,GHOST,,20,40,90,30,90,25,355
356,Dusclops,GHOST,,40,70,130,60,130,25,356
357,Tropius,GRASS,FLYING,99,68,83,72,87,51,357
358,Chimecho,PSYCHIC,,75,50,80,95,90,65,358
359,Absol,DARK,,65,130,60,75,60,75,359
360,Wynaut,PSYCHIC,,95,23,48,23,48,23,360
361,Snorunt,ICE,,50,50,50,50,50,50,361
362,Glalie,ICE,,80,80,80,80,80,80,362
363,Spheal,ICE,WATER,70,40,50,55,50,25,363
364,Sealeo,ICE,WATER,90,60,70,75,70,45,364
365,Walrein,ICE,WATER,110,80,90,95,90,65,365
366,Clamperl,WATER,,35,64,85,74,55,32,366
367,Huntail,WATER,,55,104,105,94,75,52,367
368,Gorebyss,WATER,,55,84,105,114,75,52,368
369,Relicanth,WATER,ROCK,100,90,130,45,65,55,369
370,Luvdisc,WATER,,43,30,55,40,65,97,370
371,Bagon,DRAGON,,45,75,60,40,30,50,371
372,Shelgon,DRAGON,,65,95,100,60,50,50,372
373,Salamence,DRAGON,FLYING,95,135,80,110,80,100,373
374,Beldum,STEEL,PSYCHIC,40,55,80,35,60,30,374
375,Metang,STEEL,PSYCHIC,60,75,100,55,80,50,375
376,Metagross,STEEL,PSYCHIC,80,135,130,95,90,70,376
377,Regirock,ROCK,,80,100,200,50,100,50,377
378,Regice,ICE,,80,50,100,100,200,50,378
379,Registeel,STEEL,,80,75,150,75,150,50,379
380,Latias,DRAGON,PSYCHIC,80,80,90,110,130,110,380
381,Latios,DRAGON,PSYCHIC,80,90,80,130,110,110,381
382,Kyogre,WATER,,100,100,90,150,140,90,382
383,Groudon,GROUND,,100,150,140,100,90,90,383
384,Rayquaza,DRAGON,FLYING,105,150,90,150,90,95,384
385,Jirachi,STEEL,PSYCHIC,100,100,100,100,100,100,385
386,Deoxys,PSYCHIC,,50,150,50,150,50,150,386
387,Turtwig,GRASS,,55,68,64,45,55,31,387
388,Grotle,GRASS,,75,89,85,55,65,36,388
389,Torterra,GRASS,GROUND,95,109,105,75,85,56,389
390,Chimchar,FIRE,,44,58,44,58,44,61,390
391,Monferno,FIRE,FIGHTING,64,78,52,78,52,81,391
392,Infernape,FIRE,FIGHTING,76,104,71,104,71,108,392
393,Piplup,WATER,,53,51,53,61,56,40,393
394,Prinplup,WATER,,64,66,68,81,76,50,394
395,Empoleon,WATER,STEEL,84,86,88,111,101,60,395
396,Starly,NORMAL,FLYING,40,55,30,30,30,60,396
397,Staravia,NORMAL,FLYING,55,75,50,40,40,80,397
398,Staraptor,NORMAL,FLYING,85,120,70,50,60,100,398
399,Bidoof,NORMAL,,59,45,40,35,40,31,399
400,Bibarel,NORMAL,WATER,79,85,60,55,60,71,400
401,Kricketot,BUG,,37,25,41,25,41,25,401
402,Kricketune,BUG,,77,85,51,55,51,65,402
403,Shinx,ELECTRIC,,45,65,34,40,34,45,403
404,Luxio,ELECTRIC,,60,85,49,60,49,60,404
405,Luxray,ELECTRIC,,80,120,79,95,79,70,405
406,Budew,GRASS,POISON,40,30,35,50,70,55,406
407,Roserade,GRASS,POISON,60,70,65,125,105,90,407
408,Cranidos,ROCK,,67,125,40,30,30,58,408
409,Rampardos,ROCK,,97,165,60,65,50,58,409
410,Shieldon,ROCK,STEEL,30,42,118,42,88,30,410
411,Bastiodon,ROCK,STEEL,60,52,168,47,138,30,411
412,Burmy,BUG,,40,29,45,29,45,36,412
413,Wormadam,BUG,GRASS,60,59,85,79,105,36,413
414,Mothim,BUG,FLYING,70,94,50,94,50,66,414
415,Combee,BUG,FLYING,30,30,42,30,42,70,415
416,Vespiquen,BUG,FLYING,70,80,102,80,102,40,416
417,Pachirisu,ELECTRIC,,60,45,70,45,90,95,417
418,Buizel,WATER,,55,65,35,60,30,85,418
419,Floatzel,WATER,,85,105,55,85,50,115,419
420,Cherubi,GRASS,,45,35,45,62,53,35,420
421,Cherrim,GRASS,,70,60,70,87,78,85,421
422,Shellos,WATER,,76,48,48,57,62,34,422
423,Gastrodon,WATER,GROUND,111,83,68,92,82,39,423
424,Ambipom,NORMAL,,75,100,66,60,66,115,424
425,Drifloon,GHOST,FLYING,90,50,34,60,44,70,425
426,Drifblim,GHOST,FLYING,150,80,44,90,54,80,426
427,Buneary,NORMAL,,55,66,44,44,56,85,427
428,Lopunny,NORMAL,,65,76,84,54,96,105,428
429,Mismagius,GHOST,,60,60,60,105,105,105,429
430,Honchkrow,DARK,FLYING,100,125,52,105,52,71,430
431,Glameow,NORMAL,,49,55,42,42,37,85,431
432,Purugly,NORMAL,,71,82,64,64,59,112,432
433,Chingling,PSYCHIC,,45,30,50,65,50,45,433
434,Stunky,POISON,DARK,63,63,47,41,41,74,434
435,Skuntank,POISON,DARK,103,93,67,71,61,84,435
436,Bronzor,STEEL,PSYCHIC,57,24,86,24,86,23,436
437,Bronzong,STEEL,PSYCHIC,67,89,116,79,116,33,437
438,Bonsly,ROCK,,50,80,95,10,45,10,438
439,Mime Jr.,PSYCHIC,FAIRY,20,25,45,70,90,60,439
440,Happiny,NORMAL,,100,5,5,15,65,30,440
441,Chatot,NORMAL,FLYING,76,65,45,92,42,91,441
442,Spiritomb,GHOST,DARK,50,92,108,92,108,35,442
443,Gible,DRAGON,GROUND,58,70,45,40,45,42,443
444,Gabite,DRAGON,GROUND,68,90,65,50,55,82,444
445,Garchomp,DRAGON,GROUND,108,130,95,80,85,102,445
446,Munchlax,NORMAL,,135,85,40,40,85,5,446
447,Riolu,FIGHTING,,40,70,40,35,40,60,447
448,Lucario,FIGHTING,STEEL,70,110,70,115,70,90,448
449,Hippopotas,GROUND,,68,72,78,38,42,32,449
450,Hippowdon,GROUND,,108,112,118,68,72,47,450
451,Skorupi,POISON,BUG,40,50,90,30,55,65,451
452,Drapion,POISON,DARK,70,90,110,60,75,95,452
453,Croagunk,POISON,FIGHTING,48,61,40,61,40,50,453
454,Toxicroak,POISON,FIGHTING,83,106,65,86,65,85,454
455,Carnivine,GRASS,,74,100,72,90,72,46,455
456,Finneon,WATER,,49,49,56,49,61,66,456
457,Lumineon,WATER,,69,69,76,69,86,91,457
458,Mantyke,WATER,FLYING,45,20,50,60,120,50,458
459,Snover,GRASS,ICE,60,62,50,62,60,40,459
460,Abomasnow,GRASS,ICE,90,92,75,92,85,60,460
461,Weavile,DARK,ICE,70,120,65,45,85,125,461
462,Magnezone,ELECTRIC,STEEL,70,70,115,130,90,60,462
463,Lickilicky,NORMAL,,110,85,95,80,95,50,463
464,Rhyperior,GROUND,ROCK,115,140,130,55,55,40,464
465,Tangrowth,GRASS,,100,100,125,110,50,50,465
