location_id,species_id,method,time_of_day,rate,min_level,max_level,condition_note
6,265,HONEY_TREE,ANY,45,5,15,
6,266,HONEY_TREE,ANY,20,5,15,
6,268,HONEY_TREE,ANY,20,5,15,
6,412,HONEY_TREE,ANY,30,5,15,
6,415,HONEY_TREE,ANY,60,5,15,
6,420,HONEY_TREE,ANY,25,5,15,
6,446,HONEY_TREE,ANY,100,5,15,
6,343,RADAR,ANY,22,14,16,PokéRadar
6,299,SWARM,ANY,40,14,14,Swarm
6,74,WALK,ANY,35,14,16,
6,77,WALK,ANY,25,14,16,
6,402,WALK,ANY,10,15,15,
6,434,WALK,ANY,25,14,16,
6,436,WALK,ANY,10,15,15,
6,77,WALK,DAY,20,14,15,
6,77,WALK,MORNING,10,15,15,
6,401,WALK,MORNING,10,14,14,
6,41,WALK,NIGHT,10,15,15,
6,402,WALK,NIGHT,10,14,14,
7,190,HONEY_TREE,ANY,15,5,15,
7,214,HONEY_TREE,ANY,5,5,15,
7,265,HONEY_TREE,ANY,45,5,15,
7,266,HONEY_TREE,ANY,20,5,15,
7,268,HONEY_TREE,ANY,20,5,15,
7,412,HONEY_TREE,ANY,30,5,15,
7,415,HONEY_TREE,ANY,60,5,15,
7,420,HONEY_TREE,ANY,25,5,15,
7,446,HONEY_TREE,ANY,100,5,15,
7,234,RADAR,ANY,22,6,7,PokéRadar
7,246,RADAR,ANY,22,6,7,PokéRadar
7,231,SWARM,ANY,40,5,5,Swarm
7,66,WALK,ANY,25,5,7,
7,74,WALK,ANY,55,5,7,
7,66,WALK,DAY,20,6,6,
7,66,WALK,MORNING,10,6,6,
7,401,WALK,MORNING,10,6,6,
7,41,WALK,NIGHT,10,6,6,
7,401,WALK,NIGHT,10,6,6,
8,129,GOOD_ROD,ANY,55,10,25,
8,339,GOOD_ROD,ANY,45,10,25,
8,190,HONEY_TREE,ANY,15,5,15,
8,214,HONEY_TREE,ANY,5,5,15,
8,265,HONEY_TREE,ANY,45,5,15,
8,266,HONEY_TREE,ANY,20,5,15,
8,268,HONEY_TREE,ANY,20,5,15,
8,412,HONEY_TREE,ANY,30,5,15,
8,415,HONEY_TREE,ANY,60,5,15,
8,420,HONEY_TREE,ANY,25,5,15,
8,446,HONEY_TREE,ANY,100,5,15,
8,129,OLD_ROD,ANY,100,3,10,
8,236,RADAR,ANY,22,17,18,PokéRadar
8,130,SUPER_ROD,ANY,55,30,55,
8,340,SUPER_ROD,ANY,45,20,50,
8,54,SURF,ANY,90,20,40,
8,55,SURF,ANY,10,20,40,
8,206,SWARM,ANY,40,16,16,Swarm
8,54,WALK,ANY,30,16,18,
8,66,WALK,ANY,10,17,17,
8,307,WALK,ANY,10,17,17,
8,399,WALK,ANY,20,16,16,
8,400,WALK,ANY,10,17,18,
8,66,WALK,DAY,10,16,16,
8,307,WALK,DAY,10,16,16,
8,66,WALK,MORNING,10,16,16,
8,307,WALK,MORNING,10,16,16,
8,41,WALK,NIGHT,20,16,16,
9,118,GOOD_ROD,ANY,45,10,25,
9,129,GOOD_ROD,ANY,55,10,25,
9,190,HONEY_TREE,ANY,15,5,15,
9,214,HONEY_TREE,ANY,5,5,15,
9,265,HONEY_TREE,ANY,45,5,15,
9,266,HONEY_TREE,ANY,20,5,15,
9,268,HONEY_TREE,ANY,20,5,15,
9,412,HONEY_TREE,ANY,30,5,15,
9,415,HONEY_TREE,ANY,60,5,15,
9,420,HONEY_TREE,ANY,25,5,15,
9,446,HONEY_TREE,ANY,100,5,15,
9,129,OLD_ROD,ANY,100,3,10,
9,128,RADAR,ANY,20,16,17,PokéRadar
9,241,RADAR,ANY,20,16,17,PokéRadar
9,442,STATIC,ANY,,25,25,Spiritomb
9,119,SUPER_ROD,ANY,45,20,50,
9,130,SUPER_ROD,ANY,55,30,55,
9,54,SURF,ANY,90,20,40,
9,55,SURF,ANY,10,20,40,
9,209,SWARM,ANY,40,16,16,Swarm
9,113,WALK,ANY,5,16,16,
9,396,WALK,ANY,20,16,16,
9,397,WALK,ANY,15,17,18,
9,400,WALK,ANY,35,16,18,
9,438,WALK,ANY,5,16,16,
9,439,WALK,ANY,5,16,16,
9,397,WALK,DAY,10,16,16,
9,400,WALK,DAY,10,16,16,
9,438,WALK,MORNING,20,16,16,
9,439,WALK,MORNING,20,16,16,
9,41,WALK,NIGHT,10,16,16,
9,92,WALK,NIGHT,10,16,16,
10,129,GOOD_ROD,ANY,55,10,25,
10,339,GOOD_ROD,ANY,45,10,25,
10,190,HONEY_TREE,ANY,15,5,15,
10,214,HONEY_TREE,ANY,5,5,15,
10,265,HONEY_TREE,ANY,45,5,15,
10,266,HONEY_TREE,ANY,20,5,15,
10,268,HONEY_TREE,ANY,20,5,15,
10,412,HONEY_TREE,ANY,30,5,15,
10,415,HONEY_TREE,ANY,60,5,15,
10,420,HONEY_TREE,ANY,25,5,15,
10,446,HONEY_TREE,ANY,100,5,15,
10,129,OLD_ROD,ANY,100,3,10,
10,128,RADAR,ANY,20,19,20,PokéRadar
10,241,RADAR,ANY,20,19,20,PokéRadar
10,352,RADAR,ANY,22,25,26,PokéRadar
10,371,RADAR,ANY,22,25,26,PokéRadar
10,130,SUPER_ROD,ANY,55,30,55,
10,340,SUPER_ROD,ANY,45,20,50,
10,54,SURF,ANY,90,20,40,
10,55,SURF,ANY,10,20,40,
10,54,WALK,ANY,20,25,25,
10,66,WALK,ANY,10,26,26,
10,67,WALK,ANY,10,26,26,
10,74,WALK,ANY,30,19,19,
10,77,WALK,ANY,30,18,20,
10,113,WALK,ANY,5,18,20,
10,307,WALK,ANY,20,25,26,
10,400,WALK,ANY,20,24,24,
10,402,WALK,ANY,10,19,19,
10,438,WALK,ANY,5,20,20,
10,439,WALK,ANY,5,20,20,
10,66,WALK,DAY,10,25,25,
10,77,WALK,DAY,20,18,18,
10,307,WALK,DAY,10,24,24,
10,66,WALK,MORNING,10,25,25,
10,307,WALK,MORNING,10,24,24,
10,438,WALK,MORNING,20,18,18,
10,439,WALK,MORNING,20,18,18,
10,163,WALK,NIGHT,10,24,24,
10,164,WALK,NIGHT,10,25,25,
10,402,WALK,NIGHT,20,18,18,
11,190,HONEY_TREE,ANY,15,5,15,
11,214,HONEY_TREE,ANY,5,5,15,
11,265,HONEY_TREE,ANY,45,5,15,
11,266,HONEY_TREE,ANY,20,5,15,
11,268,HONEY_TREE,ANY,20,5,15,
11,412,HONEY_TREE,ANY,30,5,15,
11,415,HONEY_TREE,ANY,60,5,15,
11,420,HONEY_TREE,ANY,25,5,15,
11,446,HONEY_TREE,ANY,100,5,15,
11,236,RADAR,ANY,22,12,14,PokéRadar
11,333,RADAR,ANY,22,27,28,PokéRadar
11,67,WALK,ANY,10,27,27,
11,74,WALK,ANY,10,13,13,
11,75,WALK,ANY,20,27,27,
11,77,WALK,ANY,10,13,28,
11,307,WALK,ANY,35,13,28,
11,399,WALK,ANY,25,12,13,
11,67,WALK,DAY,10,28,28,
11,77,WALK,DAY,10,26,26,
11,307,WALK,DAY,10,12,12,
11,399,WALK,DAY,10,14,14,
11,67,WALK,MORNING,10,28,28,
11,77,WALK,MORNING,10,26,26,
11,307,WALK,MORNING,10,12,12,
11,399,WALK,MORNING,10,14,14,
11,41,WALK,NIGHT,10,12,26,
11,163,WALK,NIGHT,10,14,14,
11,164,WALK,NIGHT,10,28,28,
11,433,WALK,NIGHT,10,13,28,
12,118,GOOD_ROD,ANY,45,10,25,
12,129,GOOD_ROD,ANY,55,10,25,
12,339,GOOD_ROD,ANY,45,10,25,
12,190,HONEY_TREE,ANY,15,5,15,
12,214,HONEY_TREE,ANY,5,5,15,
12,265,HONEY_TREE,ANY,45,5,15,
12,266,HONEY_TREE,ANY,20,5,15,
12,268,HONEY_TREE,ANY,20,5,15,
12,412,HONEY_TREE,ANY,30,5,15,
12,415,HONEY_TREE,ANY,60,5,15,
12,420,HONEY_TREE,ANY,25,5,15,
12,446,HONEY_TREE,ANY,100,5,15,
12,129,OLD_ROD,ANY,100,3,10,
12,88,RADAR,ANY,22,18,20,PokéRadar
12,235,RADAR,ANY,22,16,18,PokéRadar
12,119,SUPER_ROD,ANY,45,20,50,
12,130,SUPER_ROD,ANY,55,30,55,
12,340,SUPER_ROD,ANY,45,20,50,
12,54,SURF,ANY,90,20,40,
12,55,SURF,ANY,10,20,40,
12,194,SURF,ANY,90,20,40,
12,195,SURF,ANY,10,20,40,
12,194,WALK,ANY,30,18,18,
12,315,WALK,ANY,15,16,20,
12,396,WALK,ANY,20,16,16,
12,397,WALK,ANY,5,18,18,
12,400,WALK,ANY,25,18,20,
12,402,WALK,ANY,10,17,18,
12,406,WALK,ANY,30,16,16,
12,315,WALK,DAY,10,19,19,
12,397,WALK,DAY,20,17,17,
12,400,WALK,DAY,10,19,19,
12,315,WALK,MORNING,10,19,19,
12,397,WALK,MORNING,10,17,17,
12,400,WALK,MORNING,10,19,19,
12,402,WALK,MORNING,10,17,17,
12,402,WALK,NIGHT,20,17,19,
13,129,GOOD_ROD,ANY,55,10,25,
13,223,GOOD_ROD,ANY,45,10,25,
13,190,HONEY_TREE,ANY,15,5,15,
13,214,HONEY_TREE,ANY,5,5,15,
13,265,HONEY_TREE,ANY,45,5,15,
13,266,HONEY_TREE,ANY,20,5,15,
13,268,HONEY_TREE,ANY,20,5,15,
13,412,HONEY_TREE,ANY,30,5,15,
13,415,HONEY_TREE,ANY,60,5,15,
13,420,HONEY_TREE,ANY,25,5,15,
13,446,HONEY_TREE,ANY,100,5,15,
13,129,OLD_ROD,ANY,100,3,10,
13,277,RADAR,ANY,22,20,22,PokéRadar
13,130,SUPER_ROD,ANY,40,30,40,
13,224,SUPER_ROD,ANY,45,20,50,
13,319,SUPER_ROD,ANY,15,40,55,
13,72,SURF,ANY,60,20,30,
13,73,SURF,ANY,5,20,40,
13,278,SURF,ANY,30,20,30,
13,279,SURF,ANY,5,20,40,
13,359,SWARM,ANY,40,20,20,Swarm
13,278,WALK,ANY,10,20,20,
13,418,WALK,ANY,30,20,21,
13,419,WALK,ANY,10,22,22,
13,422,WALK,ANY,40,20,22,
13,278,WALK,DAY,10,20,20,
13,278,WALK,MORNING,10,20,20,
13,422,WALK,NIGHT,10,20,20,
14,118,GOOD_ROD,ANY,45,10,25,
14,129,GOOD_ROD,ANY,55,10,25,
14,190,HONEY_TREE,ANY,15,5,15,
14,214,HONEY_TREE,ANY,5,5,15,
14,265,HONEY_TREE,ANY,45,5,15,
14,266,HONEY_TREE,ANY,20,5,15,
14,268,HONEY_TREE,ANY,20,5,15,
14,412,HONEY_TREE,ANY,30,5,15,
14,415,HONEY_TREE,ANY,60,5,15,
14,420,HONEY_TREE,ANY,25,5,15,
14,446,HONEY_TREE,ANY,100,5,15,
14,129,OLD_ROD,ANY,100,3,10,
14,229,RADAR,ANY,22,23,24,PokéRadar
14,262,RADAR,ANY,22,23,24,PokéRadar
14,119,SUPER_ROD,ANY,45,20,50,
14,130,SUPER_ROD,ANY,55,30,55,
14,54,SURF,ANY,90,20,40,
14,55,SURF,ANY,10,20,40,
14,325,SWARM,ANY,40,22,23,Swarm
14,74,WALK,ANY,20,22,22,
14,75,WALK,ANY,5,24,24,
14,77,WALK,ANY,25,23,24,
14,185,WALK,ANY,15,23,24,
14,203,WALK,ANY,10,24,24,
14,402,WALK,ANY,5,24,24,
14,434,WALK,ANY,15,23,24,
14,75,WALK,DAY,10,23,23,
14,77,WALK,DAY,10,23,23,
14,75,WALK,MORNING,10,23,23,
14,77,WALK,MORNING,10,23,23,
14,402,WALK,NIGHT,20,23,23,
15,190,HONEY_TREE,ANY,15,5,15,
15,214,HONEY_TREE,ANY,5,5,15,
15,265,HONEY_TREE,ANY,45,5,15,
15,266,HONEY_TREE,ANY,20,5,15,
15,268,HONEY_TREE,ANY,20,5,15,
15,412,HONEY_TREE,ANY,30,5,15,
15,415,HONEY_TREE,ANY,60,5,15,
15,420,HONEY_TREE,ANY,25,5,15,
15,446,HONEY_TREE,ANY,100,5,15,
15,229,RADAR,ANY,22,20,22,PokéRadar
15,262,RADAR,ANY,22,20,22,PokéRadar
15,96,SWARM,ANY,40,20,21,Swarm
15,63,WALK,ANY,10,20,20,
15,64,WALK,ANY,15,20,22,
15,74,WALK,ANY,25,20,22,
15,77,WALK,ANY,20,21,21,
15,402,WALK,ANY,10,20,20,
15,77,WALK,DAY,20,21,22,
15,74,WALK,MORNING,10,21,21,
15,77,WALK,MORNING,10,22,22,
15,402,WALK,NIGHT,20,21,22,
16,361,RADAR,ANY,22,33,34,PokéRadar
16,225,SWARM,ANY,40,32,32,Swarm
16,67,WALK,ANY,10,34,34,
16,75,WALK,ANY,10,33,34,
16,215,WALK,ANY,25,32,33,
16,307,WALK,ANY,10,34,34,
16,459,WALK,ANY,25,32,33,
16,67,WALK,DAY,10,33,33,
16,307,WALK,DAY,10,33,33,
16,67,WALK,MORNING,10,33,33,
16,307,WALK,MORNING,10,33,33,
16,41,WALK,NIGHT,10,33,33,
16,164,WALK,NIGHT,10,33,33,
17,361,RADAR,ANY,22,35,36,PokéRadar
17,220,SWARM,ANY,40,34,34,Swarm
17,67,WALK,ANY,10,36,36,
17,215,WALK,ANY,25,34,35,
17,308,WALK,ANY,20,35,36,
17,459,WALK,ANY,25,34,35,
17,67,WALK,DAY,10,35,35,
17,307,WALK,DAY,10,35,35,
17,67,WALK,MORNING,10,35,35,
17,307,WALK,MORNING,10,35,35,
17,41,WALK,NIGHT,10,35,35,
17,164,WALK,NIGHT,10,35,35,
18,129,GOOD_ROD,ANY,55,10,25,
18,456,GOOD_ROD,ANY,45,10,25,
18,190,HONEY_TREE,ANY,15,5,15,
18,214,HONEY_TREE,ANY,5,5,15,
18,265,HONEY_TREE,ANY,45,5,15,
18,266,HONEY_TREE,ANY,20,5,15,
18,268,HONEY_TREE,ANY,20,5,15,
18,412,HONEY_TREE,ANY,30,5,15,
18,415,HONEY_TREE,ANY,60,5,15,
18,420,HONEY_TREE,ANY,25,5,15,
18,446,HONEY_TREE,ANY,100,5,15,
18,129,OLD_ROD,ANY,100,3,10,
18,132,RADAR,ANY,22,29,30,PokéRadar
18,130,SUPER_ROD,ANY,55,30,55,
18,457,SUPER_ROD,ANY,45,20,50,
18,72,SURF,ANY,60,20,30,
18,73,SURF,ANY,5,20,40,
18,278,SURF,ANY,30,20,30,
18,279,SURF,ANY,5,20,40,
18,100,SWARM,ANY,40,28,28,Swarm
18,122,WALK,ANY,15,29,30,
18,278,WALK,ANY,10,29,29,
18,419,WALK,ANY,35,28,30,
18,422,WALK,ANY,20,28,28,
18,423,WALK,ANY,20,28,30,
18,431,WALK,ANY,15,29,30,
19,129,GOOD_ROD,ANY,55,10,25,
19,456,GOOD_ROD,ANY,45,10,25,
19,129,OLD_ROD,ANY,100,3,10,
19,130,SUPER_ROD,ANY,40,30,40,
19,366,SUPER_ROD,ANY,15,20,30,
19,457,SUPER_ROD,ANY,45,20,50,
19,72,SURF,ANY,60,20,30,
19,73,SURF,ANY,5,20,40,
19,278,SURF,ANY,30,20,30,
19,279,SURF,ANY,5,20,40,
20,129,GOOD_ROD,ANY,55,10,25,
20,456,GOOD_ROD,ANY,45,10,25,
20,129,OLD_ROD,ANY,100,3,10,
20,130,SUPER_ROD,ANY,40,30,40,
20,170,SUPER_ROD,ANY,40,15,25,
20,171,SUPER_ROD,ANY,5,20,45,
20,457,SUPER_ROD,ANY,15,30,40,
20,72,SURF,ANY,60,20,30,
20,73,SURF,ANY,5,20,40,
20,278,SURF,ANY,30,20,30,
20,279,SURF,ANY,5,20,40,
21,129,GOOD_ROD,ANY,55,10,25,
21,456,GOOD_ROD,ANY,45,10,25,
21,190,HONEY_TREE,ANY,15,5,15,
21,214,HONEY_TREE,ANY,5,5,15,
21,265,HONEY_TREE,ANY,45,5,15,
21,266,HONEY_TREE,ANY,20,5,15,
21,268,HONEY_TREE,ANY,20,5,15,
21,412,HONEY_TREE,ANY,30,5,15,
21,415,HONEY_TREE,ANY,60,5,15,
21,420,HONEY_TREE,ANY,25,5,15,
21,446,HONEY_TREE,ANY,100,5,15,
21,129,OLD_ROD,ANY,100,3,10,
21,30,RADAR,ANY,20,29,30,PokéRadar
21,33,RADAR,ANY,20,29,30,PokéRadar
21,130,SUPER_ROD,ANY,40,30,40,
21,366,SUPER_ROD,ANY,15,20,30,
21,457,SUPER_ROD,ANY,45,20,50,
21,72,SURF,ANY,60,20,30,
21,73,SURF,ANY,5,20,40,
21,278,SURF,ANY,30,20,30,
21,279,SURF,ANY,5,20,40,
21,83,SWARM,ANY,40,28,28,Swarm
21,185,WALK,ANY,15,29,30,
21,278,WALK,ANY,10,29,29,
21,315,WALK,ANY,10,29,29,
21,419,WALK,ANY,25,28,30,
21,422,WALK,ANY,10,28,28,
21,423,WALK,ANY,30,28,30,
21,434,WALK,ANY,20,28,28,
21,435,WALK,ANY,15,29,30,
22,129,GOOD_ROD,ANY,55,10,25,
22,223,GOOD_ROD,ANY,45,10,25,
22,190,HONEY_TREE,ANY,15,5,15,
22,214,HONEY_TREE,ANY,5,5,15,
22,265,HONEY_TREE,ANY,45,5,15,
22,266,HONEY_TREE,ANY,20,5,15,
22,268,HONEY_TREE,ANY,20,5,15,
22,412,HONEY_TREE,ANY,30,5,15,
22,415,HONEY_TREE,ANY,60,5,15,
22,420,HONEY_TREE,ANY,25,5,15,
22,446,HONEY_TREE,ANY,100,5,15,
22,129,OLD_ROD,ANY,100,3,10,
22,180,RADAR,ANY,22,41,42,PokéRadar
22,130,SUPER_ROD,ANY,40,30,40,
22,224,SUPER_ROD,ANY,45,20,50,
22,319,SUPER_ROD,ANY,15,40,55,
22,72,SURF,ANY,60,20,30,
22,73,SURF,ANY,5,20,40,
22,278,SURF,ANY,30,20,30,
22,279,SURF,ANY,5,20,40,
22,300,SWARM,ANY,40,40,40,Swarm
22,122,WALK,ANY,15,41,42,
22,278,WALK,ANY,10,41,41,
22,419,WALK,ANY,25,40,42,
22,423,WALK,ANY,30,40,42,
22,431,WALK,ANY,20,40,40,
22,432,WALK,ANY,15,41,42,
22,441,WALK,DAY,20,40,41,
22,441,WALK,MORNING,20,40,41,
22,419,WALK,NIGHT,10,41,41,
22,423,WALK,NIGHT,10,40,40,
23,129,GOOD_ROD,ANY,55,10,25,
23,223,GOOD_ROD,ANY,45,10,25,
23,129,OLD_ROD,ANY,100,3,10,
23,130,SUPER_ROD,ANY,40,30,40,
23,224,SUPER_ROD,ANY,15,40,55,
23,320,SUPER_ROD,ANY,40,30,40,
23,321,SUPER_ROD,ANY,5,35,55,
23,73,SURF,ANY,60,35,45,
23,279,SURF,ANY,30,35,45,
23,458,SURF,ANY,10,30,45,
24,129,GOOD_ROD,ANY,55,10,25,
24,223,GOOD_ROD,ANY,45,10,25,
24,129,OLD_ROD,ANY,100,3,10,
24,355,RADAR,ANY,2,23,23,PokéRadar
24,356,RADAR,ANY,20,52,54,PokéRadar
24,130,SUPER_ROD,ANY,40,30,40,
24,224,SUPER_ROD,ANY,45,20,50,
24,370,SUPER_ROD,ANY,15,20,30,
24,73,SURF,ANY,35,40,55,
24,279,SURF,ANY,65,40,55,
24,177,SWARM,ANY,40,53,53,Swarm
24,44,WALK,ANY,5,53,53,
24,70,WALK,ANY,5,53,53,
24,267,WALK,ANY,5,23,23,
24,315,WALK,ANY,20,52,54,
24,418,WALK,ANY,4,23,23,
24,419,WALK,ANY,20,53,53,
24,422,WALK,ANY,1,23,23,
24,423,WALK,ANY,20,53,53,
24,441,WALK,DAY,20,52,54,
24,441,WALK,MORNING,20,52,54,
24,419,WALK,NIGHT,10,54,54,
24,423,WALK,NIGHT,10,52,52,
25,60,GOOD_ROD,ANY,45,10,25,
25,129,GOOD_ROD,ANY,55,10,25,
25,129,OLD_ROD,ANY,100,3,10,
25,56,RADAR,ANY,2,22,22,PokéRadar
25,57,RADAR,ANY,20,51,52,PokéRadar
25,61,SUPER_ROD,ANY,45,30,55,
25,130,SUPER_ROD,ANY,55,30,55,
25,55,SURF,ANY,70,40,55,
25,61,SURF,ANY,30,40,50,
25,296,SWARM,ANY,40,50,51,Swarm
25,19,WALK,ANY,5,20,22,
25,20,WALK,ANY,30,50,52,
25,21,WALK,ANY,5,20,22,
25,22,WALK,ANY,20,51,51,
25,67,WALK,ANY,5,51,51,
25,315,WALK,ANY,15,51,51,
25,435,WALK,ANY,10,51,51,
25,22,WALK,DAY,20,50,52,
25,22,WALK,MORNING,20,50,52,
25,354,WALK,NIGHT,20,50,52,
26,116,GOOD_ROD,ANY,45,10,25,
26,129,GOOD_ROD,ANY,55,10,25,
26,129,OLD_ROD,ANY,100,3,10,
26,56,RADAR,ANY,2,22,22,PokéRadar
26,57,RADAR,ANY,20,51,53,PokéRadar
26,117,SUPER_ROD,ANY,45,30,55,
26,130,SUPER_ROD,ANY,40,30,40,
26,369,SUPER_ROD,ANY,15,40,50,
26,73,SURF,ANY,5,40,55,
26,86,SURF,ANY,30,35,45,
26,87,SURF,ANY,5,40,55,
26,279,SURF,ANY,60,40,55,
26,363,SURF,ANY,30,35,45,
26,364,SURF,ANY,5,40,55,
26,98,SWARM,ANY,40,52,52,Swarm
26,19,WALK,ANY,5,20,22,
26,20,WALK,ANY,30,51,52,
26,21,WALK,ANY,5,20,22,
26,22,WALK,ANY,20,52,52,
26,55,WALK,ANY,10,51,53,
26,67,WALK,ANY,10,53,53,
26,22,WALK,DAY,20,51,53,
26,22,WALK,MORNING,20,51,53,
26,354,WALK,NIGHT,20,51,53,
27,129,GOOD_ROD,ANY,55,10,25,
27,339,GOOD_ROD,ANY,45,10,25,
27,129,OLD_ROD,ANY,100,3,10,
27,324,RADAR,ANY,22,24,55,PokéRadar
27,130,SUPER_ROD,ANY,55,30,55,
27,340,SUPER_ROD,ANY,45,20,50,
27,60,SURF,ANY,30,20,30,
27,61,SURF,ANY,70,40,55,
27,327,SWARM,ANY,40,55,55,Swarm
27,22,WALK,ANY,10,55,55,
27,75,WALK,ANY,5,56,56,
27,110,WALK,ANY,10,55,55,
27,111,WALK,ANY,5,22,24,
27,112,WALK,ANY,20,55,55,
27,227,WALK,ANY,5,56,56,
27,322,WALK,ANY,5,22,24,
27,323,WALK,ANY,20,55,55,
27,22,WALK,DAY,10,54,54,
27,75,WALK,DAY,10,54,54,
27,22,WALK,MORNING,10,54,54,
27,75,WALK,MORNING,10,54,54,
27,42,WALK,NIGHT,10,54,54,
27,354,WALK,NIGHT,10,54,54,
28,129,GOOD_ROD,ANY,55,10,25,
28,339,GOOD_ROD,ANY,45,10,25,
28,129,OLD_ROD,ANY,100,3,10,
28,328,RADAR,ANY,2,25,25,PokéRadar
28,329,RADAR,ANY,20,53,54,PokéRadar
28,130,SUPER_ROD,ANY,55,30,55,
28,340,SUPER_ROD,ANY,45,20,50,
28,60,SURF,ANY,30,20,30,
28,61,SURF,ANY,70,40,55,
28,374,SWARM,ANY,40,53,53,Swarm
28,50,WALK,ANY,5,23,25,
28,51,WALK,ANY,30,52,54,
28,112,WALK,ANY,10,53,53,
28,331,WALK,ANY,5,23,25,
28,332,WALK,ANY,20,53,53,
28,450,WALK,ANY,10,54,54,
28,112,WALK,DAY,10,52,52,
28,450,WALK,DAY,10,52,52,
28,112,WALK,MORNING,10,52,52,
28,450,WALK,MORNING,10,52,52,
28,332,WALK,NIGHT,20,52,52,
29,129,GOOD_ROD,ANY,100,10,25,
29,129,OLD_ROD,ANY,100,3,10,
29,48,RADAR,ANY,2,22,22,PokéRadar
29,49,RADAR,ANY,20,50,50,PokéRadar
29,130,SUPER_ROD,ANY,100,20,55,
29,278,SURF,ANY,70,40,55,
29,279,SURF,ANY,30,45,55,
29,16,SWARM,ANY,40,51,51,Swarm
29,43,WALK,ANY,5,20,22,
29,44,WALK,ANY,20,51,51,
29,69,WALK,ANY,5,20,22,
29,70,WALK,ANY,20,51,51,
29,123,WALK,ANY,5,52,52,
29,127,WALK,ANY,5,52,52,
